direction,tick,RED60,BLUE60,BLACK60,BLUE60_PG,parity_xor_bits,RED_fingerprint,BLUE_fingerprint,RED_sum_mod9,RED_sum_mod11,BLUE_sum_mod9,BLACK_sum_mod9,RED_prime_mask,BLUE_prime_mask,RED_prime_count,BLUE_prime_count,RED_rle_max,RED_rle_count,RED_rle_mean,BLUE_rle_max,BLUE_rle_count,BLUE_rle_mean,BLACK_gate_viz,parity_gate_viz
CCW,31,954778773459835853941941303110156332337651275257169169707990,983347813252170749921439656310127763297858930361189671454790,998752796516730336954932572910112358314594370774156178538190,130316916935857895433783745901970794194175253215677327365109,101101010111011000110000001110101101010111011000110000001110,954778|707990,983347|454790,1,5,1,1,010110111010011011000000101000010111111010111111000000101000,001101001111010100010010010100011101101010010100000010010100,29,25,2,54,1.11,2,56,1.07,·········· | █········· | ········█· | ██·····█·· | ········█· | ·█·····█··,█·██·█·█·█ | ██·██···██ | ······███· | █·██·█·█·█ | ██·██···██ | ······███·
CCW,32,547787734598358539419413031101563323376512752571691697079909,833478132521707499214396563101277632978589303611896714547909,987527965167303369549325729101123583145943707741561785381909,303169169358578954337837459019707941941752532156773273651091,011010101110110001100000011101011010101110110001100000011101,547787|079909,833478|547909,1,5,1,1,101101110100110110000001010000101111110101111110000001010000,011010011110101000100100101000111011010100101000000100101000,29,25,2,54,1.11,2,56,1.07,·········█ | ·········· | ·······█·█ | █·····█··· | ·······█·· | █·····█···,·██·█·█·██ | █·██···██· | ·····███·█ | ·██·█·█·██ | █·██···██· | ·····███·█
CCW,33,477877345983585394194130311015633233765127525716916970799095,334781325217074992143965631012776329785893036118967145479098,875279651673033695493257291011235831459437077415617853819099,031691693585789543378374590197079419417525321567732736510913,110101011101100011000000111010110101011101100011000000111010,477877|799095,334781|479098,1,5,1,1,011011101001101100000010100001011111101011111100000010100001,110100111101010001001001010001110110101001010000001001010000,29,25,2,54,1.11,2,56,1.07,········█· | ·········· | ······█·██ | ·····█···· | ······█··█ | ·····█····,██·█·█·███ | ·██···██·· | ····███·█· | ██·█·█·███ | ·██···██·· | ····███·█·
CCW,34,778773459835853941941303110156332337651275257169169707990954,347813252170749921439656310127763297858930361189671454790983,752796516730336954932572910112358314594370774156178538190998,316916935857895433783745901970794194175253215677327365109130,101010111011000110000001110101101010111011000110000001110101,778773|990954,347813|790983,1,5,1,1,110111010011011000000101000010111111010111111000000101000010,101001111010100010010010100011101101010010100000010010100001,29,25,2,54,1.11,2,57,1.05,·······█·· | ·········· | ·····█·██· | ····█····· | ·····█··█· | ····█·····,█·█·█·███· | ██···██··· | ···███·█·█ | █·█·█·███· | ██···██··· | ···███·█·█
CCW,35,787734598358539419413031101563323376512752571691697079909547,478132521707499214396563101277632978589303611896714547909833,527965167303369549325729101123583145943707741561785381909987,169169358578954337837459019707941941752532156773273651091303,010101110110001100000011101011010101110110001100000011101011,787734|909547,478132|909833,1,5,1,1,101110100110110000001010000101111110101111110000001010000101,010011110101000100100101000111011010100101000000100101000011,29,25,2,55,1.09,2,56,1.07,······█··· | ·········· | ····█·██·· | ···█······ | ····█··█·· | ···█······,·█·█·███·█ | █···██···· | ··███·█·██ | ·█·█·███·█ | █···██···· | ··███·█·██
CCW,36,877345983585394194130311015633233765127525716916970799095477,781325217074992143965631012776329785893036118967145479098334,279651673033695493257291011235831459437077415617853819099875,691693585789543378374590197079419417525321567732736510913031,101011101100011000000111010110101011101100011000000111010110,877345|095477,781325|098334,1,5,1,1,011101001101100000010100001011111101011111100000010100001011,100111101010001001001010001110110101001010000001001010000110,29,25,2,54,1.11,2,56,1.07,·····█···· | ·········· | ···█·██··· | ··█······· | ···█··█··· | ··█·······,█·█·███·██ | ···██····· | ·███·█·██· | █·█·███·██ | ···██····· | ·███·█·██·
CCW,37,773459835853941941303110156332337651275257169169707990954778,813252170749921439656310127763297858930361189671454790983347,796516730336954932572910112358314594370774156178538190998752,916935857895433783745901970794194175253215677327365109130316,010111011000110000001110101101010111011000110000001110101101,773459|954778,813252|983347,1,5,1,1,111010011011000000101000010111111010111111000000101000010110,001111010100010010010100011101101010010100000010010100001101,29,25,2,54,1.11,2,56,1.07,····█····· | ·········· | ··█·██···· | ·█········ | ··█··█···· | ·█········,·█·███·██· | ··██······ | ███·█·██·█ | ·█·███·██· | ··██······ | ███·█·██·█
CCW,38,734598358539419413031101563323376512752571691697079909547787,132521707499214396563101277632978589303611896714547909833478,965167303369549325729101123583145943707741561785381909987527,169358578954337837459019707941941752532156773273651091303169,101110110001100000011101011010101110110001100000011101011010,734598|547787,132521|833478,1,5,1,1,110100110110000001010000101111110101111110000001010000101101,011110101000100100101000111011010100101000000100101000011010,29,25,2,55,1.09,2,56,1.07,···█······ | ·········· | ·█·██····· | █········· | ·█··█····· | █·········,█·███·██·· | ·██······█ | ██·█·██·█· | █·███·██·· | ·██······█ | ██·█·██·█·
CCW,39,345983585394194130311015633233765127525716916970799095477877,325217074992143965631012776329785893036118967145479098334781,651673033695493257291011235831459437077415617853819099875279,693585789543378374590197079419417525321567732736510913031691,011101100011000000111010110101011101100011000000111010110101,345983|477877,325217|334781,1,5,1,1,101001101100000010100001011111101011111100000010100001011011,111101010001001001010001110110101001010000001001010000110100,29,25,2,54,1.11,2,56,1.07,··█······· | ·········· | █·██·····█ | ·········· | █··█·····█ | ··········,·███·██··· | ██······██ | █·█·██·█·█ | ·███·██··· | ██······██ | █·█·██·█·█
CCW,40,459835853941941303110156332337651275257169169707990954778773,252170749921439656310127763297858930361189671454790983347813,516730336954932572910112358314594370774156178538190998752796,935857895433783745901970794194175253215677327365109130316916,111011000110000001110101101010111011000110000001110101101010,459835|778773,252170|347813,1,5,1,1,010011011000000101000010111111010111111000000101000010110111,111010100010010010100011101101010010100000010010100001101001,29,25,2,54,1.11,2,56,1.07,·█········ | ·········█ | ·██·····█· | ·········█ | ··█·····█· | ··········,███·██···█ | █······███ | ·█·██·█·█· | ███·██···█ | █······███ | ·█·██·█·█·
CCW,41,598358539419413031101563323376512752571691697079909547787734,521707499214396563101277632978589303611896714547909833478132,167303369549325729101123583145943707741561785381909987527965,358578954337837459019707941941752532156773273651091303169169,110110001100000011101011010101110110001100000011101011010101,598358|787734,521707|478132,1,5,1,1,100110110000001010000101111110101111110000001010000101101110,110101000100100101000111011010100101000000100101000011010011,29,25,2,54,1.11,2,56,1.07,█········· | ········█· | ██·····█·· | ········█· | ·█·····█·· | ··········,██·██···██ | ······███· | █·██·█·█·█ | ██·██···██ | ······███· | █·██·█·█·█
CCW,42,983585394194130311015633233765127525716916970799095477877345,217074992143965631012776329785893036118967145479098334781325,673033695493257291011235831459437077415617853819099875279651,585789543378374590197079419417525321567732736510913031691693,101100011000000111010110101011101100011000000111010110101011,983585|877345,217074|781325,1,5,1,1,001101100000010100001011111101011111100000010100001011011101,101010001001001010001110110101001010000001001010000110100111,29,25,2,54,1.11,2,56,1.07,·········· | ·······█·█ | █·····█··· | ·······█·· | █·····█··· | ·········█,█·██···██· | ·····███·█ | ·██·█·█·██ | █·██···██· | ·····███·█ | ·██·█·█·██
CCW,43,835853941941303110156332337651275257169169707990954778773459,170749921439656310127763297858930361189671454790983347813252,730336954932572910112358314594370774156178538190998752796516,857895433783745901970794194175253215677327365109130316916935,011000110000001110101101010111011000110000001110101101010111,835853|773459,170749|813252,1,5,1,1,011011000000101000010111111010111111000000101000010110111010,010100010010010100011101101010010100000010010100001101001111,29,25,2,54,1.11,2,56,1.07,·········· | ······█·██ | ·····█···· | ······█··█ | ·····█···· | ········█·,·██···██·· | ····███·█· | ██·█·█·███ | ·██···██·· | ····███·█· | ██·█·█·███
CCW,44,358539419413031101563323376512752571691697079909547787734598,707499214396563101277632978589303611896714547909833478132521,303369549325729101123583145943707741561785381909987527965167,578954337837459019707941941752532156773273651091303169169358,110001100000011101011010101110110001100000011101011010101110,358539|734598,707499|132521,1,5,1,1,110110000001010000101111110101111110000001010000101101110100,101000100100101000111011010100101000000100101000011010011110,29,25,2,54,1.11,2,56,1.07,·········· | ·····█·██· | ····█····· | ·····█··█· | ····█····· | ·······█··,██···██··· | ···███·█·█ | █·█·█·███· | ██···██··· | ···███·█·█ | █·█·█·███·
CCW,45,585394194130311015633233765127525716916970799095477877345983,074992143965631012776329785893036118967145479098334781325217,033695493257291011235831459437077415617853819099875279651673,789543378374590197079419417525321567732736510913031691693585,100011000000111010110101011101100011000000111010110101011101,585394|345983,074992|325217,1,5,1,1,101100000010100001011111101011111100000010100001011011101001,010001001001010001110110101001010000001001010000110100111101,29,25,2,54,1.11,2,56,1.07,·········· | ····█·██·· | ···█······ | ····█··█·· | ···█······ | ······█···,█···██···· | ··███·█·██ | ·█·█·███·█ | █···██···· | ··███·█·██ | ·█·█·███·█
CCW,46,853941941303110156332337651275257169169707990954778773459835,749921439656310127763297858930361189671454790983347813252170,336954932572910112358314594370774156178538190998752796516730,895433783745901970794194175253215677327365109130316916935857,000110000001110101101010111011000110000001110101101010111011,853941|459835,749921|252170,1,5,1,1,011000000101000010111111010111111000000101000010110111010011,100010010010100011101101010010100000010010100001101001111010,29,25,2,54,1.11,2,56,1.07,·········· | ···█·██··· | ··█······· | ···█··█··· | ··█······· | ·····█····,···██····· | ·███·█·██· | █·█·███·██ | ···██····· | ·███·█·██· | █·█·███·██
CCW,47,539419413031101563323376512752571691697079909547787734598358,499214396563101277632978589303611896714547909833478132521707,369549325729101123583145943707741561785381909987527965167303,954337837459019707941941752532156773273651091303169169358578,001100000011101011010101110110001100000011101011010101110110,539419|598358,499214|521707,1,5,1,1,110000001010000101111110101111110000001010000101101110100110,000100100101000111011010100101000000100101000011010011110101,29,25,2,54,1.11,2,56,1.07,·········· | ··█·██···· | ·█········ | ··█··█···· | ·█········ | ····█·····,··██······ | ███·█·██·█ | ·█·███·██· | ··██······ | ███·█·██·█ | ·█·███·██·
CCW,48,394194130311015633233765127525716916970799095477877345983585,992143965631012776329785893036118967145479098334781325217074,695493257291011235831459437077415617853819099875279651673033,543378374590197079419417525321567732736510913031691693585789,011000000111010110101011101100011000000111010110101011101100,394194|983585,992143|217074,1,5,1,1,100000010100001011111101011111100000010100001011011101001101,001001001010001110110101001010000001001010000110100111101010,29,25,2,54,1.11,2,56,1.07,·········· | ·█·██····· | █········· | ·█··█····· | █········· | ···█······,·██······█ | ██·█·██·█· | █·███·██·· | ·██······█ | ██·█·██·█· | █·███·██··
CCW,49,941941303110156332337651275257169169707990954778773459835853,921439656310127763297858930361189671454790983347813252170749,954932572910112358314594370774156178538190998752796516730336,433783745901970794194175253215677327365109130316916935857895,110000001110101101010111011000110000001110101101010111011000,941941|835853,921439|170749,1,5,1,1,000000101000010111111010111111000000101000010110111010011011,010010010100011101101010010100000010010100001101001111010100,29,25,2,54,1.11,2,57,1.05,·········· | █·██·····█ | ·········· | █··█·····█ | ·········· | ··█·······,██······██ | █·█·██·█·█ | ·███·██··· | ██······██ | █·█·██·█·█ | ·███·██···
CCW,50,419413031101563323376512752571691697079909547787734598358539,214396563101277632978589303611896714547909833478132521707499,549325729101123583145943707741561785381909987527965167303369,337837459019707941941752532156773273651091303169169358578954,100000011101011010101110110001100000011101011010101110110001,419413|358539,214396|707499,1,5,1,1,000001010000101111110101111110000001010000101101110100110110,100100101000111011010100101000000100101000011010011110101000,29,25,2,54,1.11,2,56,1.07,·········█ | ·██·····█· | ·········█ | ··█·····█· | ·········· | ·█········,█······███ | ·█·██·█·█· | ███·██···█ | █······███ | ·█·██·█·█· | ███·██···█
CCW,51,194130311015633233765127525716916970799095477877345983585394,143965631012776329785893036118967145479098334781325217074992,493257291011235831459437077415617853819099875279651673033695,378374590197079419417525321567732736510913031691693585789543,000000111010110101011101100011000000111010110101011101100011,194130|585394,143965|074992,1,5,1,1,000010100001011111101011111100000010100001011011101001101100,001001010001110110101001010000001001010000110100111101010001,29,25,2,54,1.11,2,56,1.07,········█· | ██·····█·· | ········█· | ·█·····█·· | ·········· | █·········,······███· | █·██·█·█·█ | ██·██···██ | ······███· | █·██·█·█·█ | ██·██···██
CCW,52,941303110156332337651275257169169707990954778773459835853941,439656310127763297858930361189671454790983347813252170749921,932572910112358314594370774156178538190998752796516730336954,783745901970794194175253215677327365109130316916935857895433,000001110101101010111011000110000001110101101010111011000110,941303|853941,439656|749921,1,5,1,1,000101000010111111010111111000000101000010110111010011011000,010010100011101101010010100000010010100001101001111010100010,29,25,2,54,1.11,2,56,1.07,·······█·█ | █·····█··· | ·······█·· | █·····█··· | ·········█ | ··········,·····███·█ | ·██·█·█·██ | █·██···██· | ·····███·█ | ·██·█·█·██ | █·██···██·
CCW,53,413031101563323376512752571691697079909547787734598358539419,396563101277632978589303611896714547909833478132521707499214,325729101123583145943707741561785381909987527965167303369549,837459019707941941752532156773273651091303169169358578954337,000011101011010101110110001100000011101011010101110110001100,413031|539419,396563|499214,1,5,1,1,001010000101111110101111110000001010000101101110100110110000,100101000111011010100101000000100101000011010011110101000100,29,25,2,54,1.11,2,56,1.07,······█·██ | ·····█···· | ······█··█ | ·····█···· | ········█· | ··········,····███·█· | ██·█·█·███ | ·██···██·· | ····███·█· | ██·█·█·███ | ·██···██··
CCW,54,130311015633233765127525716916970799095477877345983585394194,965631012776329785893036118967145479098334781325217074992143,257291011235831459437077415617853819099875279651673033695493,374590197079419417525321567732736510913031691693585789543378,000111010110101011101100011000000111010110101011101100011000,130311|394194,965631|992143,1,5,1,1,010100001011111101011111100000010100001011011101001101100000,001010001110110101001010000001001010000110100111101010001001,29,25,2,54,1.11,2,56,1.07,·····█·██· | ····█····· | ·····█··█· | ····█····· | ·······█·· | ··········,···███·█·█ | █·█·█·███· | ██···██··· | ···███·█·█ | █·█·█·███· | ██···██···
CCW,55,303110156332337651275257169169707990954778773459835853941941,656310127763297858930361189671454790983347813252170749921439,572910112358314594370774156178538190998752796516730336954932,745901970794194175253215677327365109130316916935857895433783,001110101101010111011000110000001110101101010111011000110000,303110|941941,656310|921439,1,5,1,1,101000010111111010111111000000101000010110111010011011000000,010100011101101010010100000010010100001101001111010100010010,29,25,2,54,1.11,2,56,1.07,····█·██·· | ···█······ | ····█··█·· | ···█······ | ······█··· | ··········,··███·█·██ | ·█·█·███·█ | █···██···· | ··███·█·██ | ·█·█·███·█ | █···██····
CCW,56,031101563323376512752571691697079909547787734598358539419413,563101277632978589303611896714547909833478132521707499214396,729101123583145943707741561785381909987527965167303369549325,459019707941941752532156773273651091303169169358578954337837,011101011010101110110001100000011101011010101110110001100000,031101|419413,563101|214396,1,5,1,1,010000101111110101111110000001010000101101110100110110000001,101000111011010100101000000100101000011010011110101000100100,29,25,2,54,1.11,2,56,1.07,···█·██··· | ··█······· | ···█··█··· | ··█······· | ·····█···· | ··········,·███·█·██· | █·█·███·██ | ···██····· | ·███·█·██· | █·█·███·██ | ···██·····
CCW,57,311015633233765127525716916970799095477877345983585394194130,631012776329785893036118967145479098334781325217074992143965,291011235831459437077415617853819099875279651673033695493257,590197079419417525321567732736510913031691693585789543378374,111010110101011101100011000000111010110101011101100011000000,311015|194130,631012|143965,1,5,1,1,100001011111101011111100000010100001011011101001101100000010,010001110110101001010000001001010000110100111101010001001001,29,25,2,54,1.11,2,56,1.07,··█·██···· | ·█········ | ··█··█···· | ·█········ | ····█····· | ··········,███·█·██·█ | ·█·███·██· | ··██······ | ███·█·██·█ | ·█·███·██· | ··██······
CCW,58,110156332337651275257169169707990954778773459835853941941303,310127763297858930361189671454790983347813252170749921439656,910112358314594370774156178538190998752796516730336954932572,901970794194175253215677327365109130316916935857895433783745,110101101010111011000110000001110101101010111011000110000001,110156|941303,310127|439656,1,5,1,1,000010111111010111111000000101000010110111010011011000000101,100011101101010010100000010010100001101001111010100010010010,29,25,2,54,1.11,2,56,1.07,·█·██····· | █········· | ·█··█····· | █········· | ···█······ | ··········,██·█·██·█· | █·███·██·· | ·██······█ | ██·█·██·█· | █·███·██·· | ·██······█
CCW,59,101563323376512752571691697079909547787734598358539419413031,101277632978589303611896714547909833478132521707499214396563,101123583145943707741561785381909987527965167303369549325729,019707941941752532156773273651091303169169358578954337837459,101011010101110110001100000011101011010101110110001100000011,101563|413031,101277|396563,1,5,1,1,000101111110101111110000001010000101101110100110110000001010,000111011010100101000000100101000011010011110101000100100101,29,25,2,55,1.09,2,56,1.07,█·██·····█ | ·········· | █··█·····█ | ·········· | ··█······· | ··········,█·█·██·█·█ | ·███·██··· | ██······██ | █·█·██·█·█ | ·███·██··· | ██······██
